Symbol,Name,Assets
XOM,Exxon Mobil Corporation,1.07%
V,Visa Inc. Class A,0.97%
NVDA,NVIDIA Corporation,8.44%
GOOGL,Alphabet Inc. Class A,8.25%
AAPL,Apple Inc.,8.20%
MSFT,Microsoft Corporation,8.17%
META,Meta Platforms Inc. Class A,7.36%
AVGO,Broadcom Inc.,4.63%
ADBE,Adobe Incorporated,2.58%
CRM,"Salesforce, Inc.",2.40%
AMD,"Advanced Micro Devices, Inc.",2.08%
NFLX,"Netflix, Inc.",2.03%
ACN,Accenture Plc Class A,2.02%
CSCO,"Cisco Systems, Inc.",1.92%
INTC,Intel Corporation,1.83%
INTU,Intuit Inc.,1.64%
ORCL,Oracle Corporation,1.57%
META,Meta Platforms Inc. Class A,2.58%
TEAM,Atlassian Corp Class A,2.57%
ADBE,Adobe Incorporated,2.53%
ANSS,"ANSYS, Inc.",2.50%
INTU,Intuit Inc.,2.50%
CDW,CDW Corporation,2.48%
CDNS,"Cadence Design Systems, Inc.",2.47%
SPLK,Splunk Inc.,2.47%
MSFT,Microsoft Corporation,2.47%
SNPS,"Synopsys, Inc.",2.46%
FTNT,"Fortinet, Inc.",2.46%
ROP,"Roper Technologies, Inc.",2.46%
GFS,GlobalFoundries Inc.,2.46%
INTC,Intel Corporation,2.45%
WDAY,"Workday, Inc. Class A",2.45%
N/A,U.S. Dollar,25.68%
AAPL,Apple Inc.,5.21%
MSFT,Microsoft Corporation,4.72%
AMZN,"Amazon.com, Inc.",2.41%
NVDA,NVIDIA Corporation,2.14%
N/A,United States Treasury Bills 0.0% 24-AUG-2023,1.85%
GOOGL,Alphabet Inc. Class A,1.47%
META,Meta Platforms Inc. Class A,1.33%
TSLA,"Tesla, Inc.",1.32%
GOOG,Alphabet Inc. Class C,1.27%
BRK.B,Berkshire Hathaway Inc. Class B,1.21%
UNH,UnitedHealth Group Incorporated,0.91%
JPM,JPMorgan Chase & Co.,0.88%
JNJ,Johnson & Johnson,0.85%
XOM,Exxon Mobil Corporation,0.84%
TWTR,Twitter Inc,12.88%
TSLA,Tesla Inc,12.17%
AAPL,Apple Inc,9.99%
FB,Facebook Inc,9.82%
GOOGL,Alphabet Inc,9.74%
BABA,Alibaba Group Holding Ltd,9.55%
NFLX,Netflix Inc,9.18%
AMZN,Amazon.com Inc,9.15%
